,italy,ratio
0,155,
1,229,1.4774193548387098
2,322,1.4061135371179039
3,453,1.406832298136646
4,655,1.445916114790287
5,888,1.3557251908396946
6,1128,1.2702702702702702
7,1694,1.50177304964539
8,2036,1.2018890200708383
9,2502,1.2288801571709234
10,3089,1.2346123101518784
11,3858,1.2489478795726772
12,4636,1.2016588906169
13,5883,1.2689818809318378
14,7375,1.2536121026687064
15,9172,1.2436610169491524
16,10149,1.1065198430004362
17,12462,1.22790422701744
