,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4
39,0,0,0,0,0,1,1,2,42,2583,103563,2369520,8392673,1785560,159334,12186,940,53,4,1,0,0,0,0
40,0,0,0,0,0,1,1,2,38,2583,113527,2692042,7489315,1246727,99815,6980,483,25,1,1,0,0,0,0
41,0,0,0,0,0,1,1,2,34,2583,124377,3029522,6478552,866163,62592,3980,264,9,0,0,0,0,0,0
42,0,0,0,0,0,1,1,2,31,2583,136175,3374542,5450705,599532,39233,2206,129,4,0,0,0,0,0,0
43,0,0,0,0,0,1,1,2,28,2583,149121,3715410,4479071,413448,24906,1307,78,1,0,0,0,0,0,0
44,0,0,0,0,0,1,1,2,25,2583,163222,4037673,3611945,283760,15464,760,45,1,0,0,0,0,0,0
45,0,0,0,0,0,1,1,2,22,2583,178542,4327803,2865826,194832,9689,438,34,0,0,0,0,0,0,0
46,0,0,0,0,0,1,1,2,20,2581,195117,4568230,2243550,133954,6017,271,19,0,0,0,0,0,0,0
47,0,0,0,0,0,1,1,2,18,2579,213153,4743723,1739800,91302,3806,131,8,0,0,0,0,0,0,0
48,0,0,0,0,0,1,1,2,16,2576,232623,4844214,1338414,62513,2395,79,2,0,0,0,0,0,0,0
49,0,0,0,0,0,1,1,2,14,2576,253678,4859704,1022359,42793,1517,41,1,0,0,0,0,0,0,0
50,0,0,0,0,0,1,1,2,13,2576,276460,4790602,778238,29026,979,20,0,0,0,0,0,0,0,0
51,0,0,0,0,0,1,1,2,12,2575,300994,4639700,590754,19849,585,9,0,0,0,0,0,0,0,0
52,0,0,0,0,0,1,1,2,11,2574,327425,4420752,446531,13618,364,2,0,0,0,0,0,0,0,0
53,0,0,0,0,0,1,1,2,10,2572,355930,4140914,337004,9364,227,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,1,1,2,9,2571,386212,3820536,254384,6407,139,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,1,1,2,8,2568,418643,3471443,191437,4411,93,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,1,1,2,7,2566,453162,3115750,144153,3021,62,0,0,0,0,0,0,0,0,0
